55.0 53.04 119.31 8.4
55.0 53.02 86.29 8.0
55.0 53.08 59.65 8.6
55.0 53.04 88.17 8.4
55.0 53.00 100.03 8.3
55.0 52.95 102.21 8.6
55.0 52.91 97.16 8.6
55.0 52.88 97.28 9.1
55.0 52.85 97.39 9.3
55.0 52.83 97.49 9.7
55.0 52.79 99.13 9.8
55.0 52.65 144.30 9.6
55.0 52.61 112.90 10.1
55.0 52.61 103.09 10.1
55.0 52.58 117.51 10.4
55.0 52.61 98.45 10.7
55.0 52.65 87.91 10.7
55.0 52.59 119.08 10.8
55.0 52.58 117.55 11.0
55.0 52.60 98.29 11.0
55.0 52.58 108.25 11.2
55.0 52.57 108.35 11.1
